"Kernel","Module","Op","Direction","Sil(ns)","TC","FLOPs","Bytes","Device","Stream","Block","Grid"
"elementwise_kernel","na","add","fprop","2176","na","0","0","0","7","512,1,1","274,1,1"
"elementwise_kernel","na","add_","fprop","2016","na","0","0","0","7","512,1,1","79,1,1"
"ComputeInternalGradientsCUDAKernel","torch.nn.functional","layer_norm","bprop","6047","-","0","0","0","7","512,1,1","700,1,1"
"ComputeGradientFusedParamsCUDAKernel","torch.nn.functional","layer_norm","bprop","1728","-","0","0","0","7","256,1,1","3,1,1"
"LayerNormBackwardCUDAKenrel","torch.nn.functional","layer_norm","bprop","3264","-","0","0","0","7","256,1,1","700,1,1"
"GammaBetaBackwardCUDAKernel","torch.nn.functional","layer_norm","bprop","13152","-","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1440","na","0","0","0","7","512,1,1","1,1,1"
"elementwise_kernel","na","add_","fprop","1440","na","0","0","0","7","512,1,1","1,1,1"
"kernelPointwiseApply3","torch.nn.functional","dropout","bprop","2464","-","700000","1120000","0","7","512,1,1","274,1,1"
"reduce_kernel","na","sum","fprop","6752","na","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1408","na","0","0","0","7","512,1,1","1,1,1"
"volta_sgemm_64x32_sliced1x4_nt","torch.nn.functional","multi_head_attention_forward","bprop","17408","-","0","0","0","7","256,1,1","4,7,2"
"volta_sgemm_64x32_sliced1x4_nn","torch.nn.functional","multi_head_attention_forward","bprop","17407","-","0","0","0","7","256,1,1","4,22,1"
"elementwise_kernel","na","add_","fprop","2016","na","0","0","0","7","512,1,1","79,1,1"
"volta_sgemm_128x64_nt","torch.nn.functional","multi_head_attention_forward","bprop","15616","-","0","0","0","7","128,1,1","1,1,40"
"volta_sgemm_128x64_tn","torch.nn.functional","multi_head_attention_forward","bprop","22495","-","0","0","0","7","128,1,1","1,1,40"
"kernelPointwiseApply3","torch.nn.functional","multi_head_attention_forward","bprop","2272","-","0","0","0","7","512,1,1","96,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","bprop","2176","-","0","0","0","7","512,1,1","96,1,1"
"softmax_warp_backward","torch.nn.functional","multi_head_attention_forward","bprop","2208","-","0","0","0","7","32,4,1","175,1,1"
"volta_sgemm_128x64_nt","torch.nn.functional","multi_head_attention_forward","bprop","10272","-","0","0","0","7","128,1,1","1,2,40"
"volta_sgemm_128x64_nn","torch.nn.functional","multi_head_attention_forward","bprop","16736","-","0","0","0","7","128,1,1","1,1,40"
"elementwise_kernel","na","View","bprop","5152","na","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","na","View","bprop","4480","na","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","bprop","2976","-","0","0","0","7","512,1,1","274,1,1"
"elementwise_kernel","na","Split","bprop","3200","na","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","na","Split","bprop","5408","na","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","na","Split","bprop","3135","na","0","0","0","7","128,1,1","274,1,1"
"reduce_kernel","na","sum","fprop","7040","na","0","0","0","7","32,16,1","19,1,1"
"elementwise_kernel","na","add_","fprop","1472","na","0","0","0","7","512,1,1","2,1,1"
"volta_sgemm_128x32_sliced1x4_nt","torch.nn.functional","multi_head_attention_forward","bprop","45023","-","0","0","0","7","256,1,1","2,19,1"
"volta_sgemm_32x32_sliced1x4_nn","torch.nn.functional","multi_head_attention_forward","bprop","35295","-","0","0","0","7","128,1,1","7,22,2"
"elementwise_kernel","na","add","fprop","2688","na","0","0","0","7","512,1,1","274,1,1"
"elementwise_kernel","na","add_","fprop","3328","na","0","0","0","7","512,1,1","235,1,1"
"kernelPointwiseApply3","torch.nn.functional","dropout","bprop","3072","-","700000","1120000","0","7","512,1,1","274,1,1"
"reduce_kernel","na","sum","fprop","4288","na","0","0","0","7","32,16,1","14,1,1"
"elementwise_kernel","torch.nn.functional","embedding","bprop","1408","-","0","84000","0","7","512,1,1","14,1,1"
"embedding_backward_feature_kernel","torch.nn.functional","embedding","bprop","3584","-","0","0","0","7","32,32,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1664","na","0","0","0","7","512,1,1","14,1,1"
"elementwise_kernel","Tensor","__mul__","bprop","2016","-","140000.0","1120000","0","7","512,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","embedding","bprop","30463","-","0","1680000","0","7","512,1,1","13000,1,1"
"embedding_backward_feature_kernel","torch.nn.functional","embedding","bprop","34623","-","0","0","0","7","32,32,1","7,1,1"
